Lake_ID,Name,Acres,Lat,Long
49027100,Unnamed,24,45.90301514,-94.62597656
49027300,Unnamed,10,45.87547684,-94.61292267
49027500,Unnamed,16,45.88924789,-94.51689911
49027600,Unnamed,19,45.85248947,-94.5932312
49027700,Unnamed,27,45.83634567,-94.6224823
49027800,Unnamed,30,45.84452438,-94.52700043
49027900,Unnamed,2,45.83211136,-94.49293518
49028000,Unnamed,11,45.81478882,-94.58049774
49028100,Unnamed,12,45.80013657,-94.62216187
49028200,Unnamed,13,45.7938118,-94.62239075
49028300,Unnamed,31,46.16362381,-94.56571198
49028400,Unnamed,12,45.95331192,-94.5365448
49028600,Unnamed,10,45.91495132,-94.16589355
49028700,Unnamed,10,45.91263199,-94.15538025
49028900,Unnamed,10,46.03338623,-94.08196259
49029000,Unnamed,11,46.1444931,-94.1829071
49029100,Unnamed,13,46.14624405,-94.17990875
49029500,Bullhead,11,45.9474678,-94.31322479
49029600,Unnamed,11,45.94044113,-93.90688324
49029700,Unnamed,11,45.87321854,-94.25332642
49029900,Unnamed,15,45.8502388,-94.26812744
56002800,Unnamed,20,46.14943314,-95.37418365
51009000,Current Lake Marsh,45,44.16931152,-95.9599762
51009100,Unnamed,10,44.16057587,-95.97883606
31127300,North Harrison Pit,0,47.37255859,-93.18426514
31127400,Holobe Pit,0,47.37744522,-93.17874146
31127600,Arcturus Pit,191,47.32595825,-93.31896973
31127800,Hill-Trumble Pit,0,47.33558655,-93.28881836
31127900,Hill-Annex Pit,0,47.33423996,-93.26922607
31128100,Jessie Pit,53,47.27127457,-93.48360443
31128200,Canisteo Pit,0,47.29821014,-93.42882538
31128300,King Pit,0,47.2937851,-93.44353485
31128400,Walker Pit,0,47.30198288,-93.42060089
31128500,Danube Pit,0,47.30959702,-93.41375732
31128600,Orwell Pit,0,47.31588364,-93.39282227
31128700,Sally Pit,0,47.31729126,-93.40246582
31128900,Judd Pit,0,47.3224144,-93.39318848
31129000,Bingham Pit,0,47.31655502,-93.39182281
31129100,Holman Pit,0,47.31992722,-93.3815918
31129200,Plummer Pit,0,47.32198715,-93.39192963
31129300,Diamond Pit,0,47.32637787,-93.37371063
31129400,Hunner Pit,0,47.29596329,-93.42980194
31129500,Butler Taconite Pit # 5,165,47.35585022,-93.22477722
31129600,Bennett Mine Pit,49,47.41135025,-93.07276154
31129700,South Russell Mine Pit,16,47.41676712,-93.07100677
34008200,Unnamed,40,44.94852066,-94.99715424
34008400,Unnamed,29,44.93230057,-94.9338913
34008500,Unnamed,58,44.91540146,-94.90763092
34008600,Big Kandiyohi,2877,44.99777222,-94.93236542
38079700,Pakwene,25,48.14774704,-91.76920319
38079800,Gypo,53,48.14295197,-91.78264618
38080000,Tick,9,48.12448883,-91.77526093
38080100,Section Sixteen,70,48.11854553,-91.74311066
38080200,No-see-um,32,48.11447906,-91.76483154
38080300,Hube,16,48.08533859,-91.68498993
38080400,Unnamed,10,48.082901,-91.73544312
38080500,Unnamed,21,48.06917953,-91.72511292
38080600,Wabosons,38,48.15485001,-91.72869873
38080700,Unnamed,13,48.19256973,-91.74008942
38080800,Unnamed,10,48.18946838,-91.73726654
38080900,Chippewa,95,48.15659332,-91.78809357
38081000,Cedar,472,47.95697784,-91.79212189
38081100,Fall,2322,47.94878387,-91.7375412
38081200,Range,100,48.03031158,-91.79785156
38081300,Fourtown,1305,48.08333588,-91.79288483
38081400,Niki,56,48.14746094,-91.79646301
38081600,Moosecamp,187,48.1209259,-91.79263306
38081700,Crooked,5580,48.19404984,-91.79291534
38082400,Unnamed,28,47.61582565,-91.49971771
38083100,Unnamed,18,47.63110352,-91.26183319
38083300,Unnamed,10,47.67142868,-91.54320526
38083400,Unnamed,11,47.6796875,-91.5197525
38083500,Unnamed,10,47.67725372,-91.63008881
38083600,Unnamed,10,47.67335892,-91.62675476
38083700,Leatherleaf,12,47.74140549,-91.62466431
41008200,Steep Bank,208,44.53911972,-96.32923126
41008300,Unnamed,126,44.55838776,-96.33335114
41008400,Biggs,128,44.4493866,-96.39453888
41008600,Unnamed,16,44.41633606,-96.3312149
41008700,Unnamed,16,44.42255783,-96.3443985
41008800,Unnamed,10,44.42066193,-96.3609314
56023500,Unnamed,39,46.14260101,-95.64162445
56023600,Unnamed,14,46.12033081,-95.64442444
56023700,Belmont,275,46.19915771,-95.64203644
44055800,Unnamed,105,47.20441437,-95.93752289
44055900,Unnamed,31,47.29329681,-95.93804169
44056000,Unnamed,11,47.229702,-95.8794632
44056100,Unnamed,9,47.20888901,-95.87506104
44056200,Marsh Creek WMA,86,47.40964127,-96.04575348
44056300,Unnamed,20,47.22169876,-95.73184204
38072100,Lark,20,47.92900848,-91.57273102
38072101,North Lark,0,47.92904282,-91.57302094
38072200,Clear,239,47.90169144,-91.63296509
46007100,Unnamed,51,43.5056076,-94.61125946
46007200,Mud,132,43.57980347,-94.57156372
46007300,Timber,127,43.66075134,-94.52071381
46007400,Unnamed,244,43.64908218,-94.59996033
46007600,Pierce,548,43.60414886,-94.55561066
46007800,Eagle,138,43.6991806,-94.59677124
46007900,Unnamed,56,43.71072006,-94.50952911
46008000,Swan,166,43.68474579,-94.60406494
46008100,Willow Creek,25,43.84279633,-94.60422516
46008200,Long,72,43.82252502,-94.60814667
46008300,Unnamed,12,43.81292343,-94.60751343
46008400,Round,41,43.8090477,-94.60745239
46008500,Unnamed,14,43.79532242,-94.59483337
46008600,Unnamed,27,43.80027008,-94.5844574
46008700,Unnamed,14,43.79146576,-94.56690216
46008900,Unnamed,56,43.57486343,-94.70157623
46009100,Unnamed,30,43.55301285,-94.65275574
46009200,Unnamed,75,43.54448318,-94.64495087
46009300,Unnamed,14,43.546772,-94.67656708
46009400,Susan,126,43.54267502,-94.67934418
46009500,Fish,160,43.53799057,-94.66075134
46009600,Clear,261,43.5274353,-94.64788055
46009700,Unnamed,64,43.5149498,-94.63474274
46009800,Dutton Slough,49,43.52128601,-94.63962555
46009900,Unnamed,65,43.50696564,-94.62142181
45018600,Unnamed,35,48.38936234,-95.71710205
46010100,West Holmes,100,43.5885582,-94.66545105
46010300,Temperance,176,43.65798187,-94.71263885
46010400,Munger,273,43.64397812,-94.71109009
46010500,Prairie,363,43.62723541,-94.67549896
46010600,Manyaska,313,43.62638092,-94.71797943
38084600,Unnamed,10,47.94071198,-91.38741302
38084700,Unnamed,11,47.94394684,-91.31100464
38084800,Unnamed,10,47.97167969,-91.25902557
38084900,Jerky,11,48.00089264,-91.47031403
38085000,Unnamed,10,47.93792343,-91.39467621
38085100,Unnamed,10,47.94200516,-91.40543365
38085200,Unnamed,10,47.92602539,-91.41904449
38085300,Dan,10,47.9378624,-91.62482452
38085400,Unnamed,10,47.96914291,-91.66149902
38085500,Hawks Nest,32,47.99130249,-91.7938385
38085600,Unnamed,28,48.02209473,-91.39813232
38085700,Unnamed,11,48.06823349,-91.60464478
38085800,Unnamed,10,48.06085587,-91.61509705
38086100,Unnamed,16,48.10069275,-91.69060516
38086200,Unnamed,10,48.12698746,-91.7465744
38086300,Unnamed,10,48.07345581,-91.7779007
38086400,Unnamed,18,48.13145828,-91.73874664
38086500,Unnamed,23,48.16879272,-91.7448349
38086600,Unnamed,10,48.15644836,-91.77990723
38086900,Unnamed,11,47.81599045,-91.18192291
38053500,Unnamed,10,47.27371597,-91.4648819
38053600,Water Tank,10,47.32437134,-91.52325439
38053700,Unnamed,13,47.31315613,-91.44140625
38053800,Katherine,77,47.4413147,-91.47122192
38053900,Cloquet,186,47.43671417,-91.4889679
38054100,Kari,22,47.40654373,-91.49780273
38054200,Lillian,34,47.40358734,-91.50266266
38054400,Spruce,85,47.51298523,-91.46359253
38054500,Ferman,24,47.48825073,-91.41251373
38054600,Unnamed,14,47.60473633,-91.47289276
38054700,Fishtrap,23,47.61289597,-91.46587372
38054800,Wilbar,29,47.54805756,-91.44377899
38094500,Megasoft Pond,2,47.69893646,-91.72602081
38094600,Ethel Pond,4,47.6786232,-91.10430145
39000200,Lake of the Woods,307010,49.12777328,-94.92232513
39000300,Winter Road,182,48.68514633,-95.04096222
38065700,Fourth McDougal,16,47.63102341,-91.55464935
38065800,Middle McDougal,108,47.62672043,-91.55269623
38066000,Stony,409,47.62637711,-91.61949921
38066100,Robin,25,47.7058754,-91.5766449
38066200,Unnamed,10,47.71346664,-91.63362122
38066300,Unnamed,26,47.71578979,-91.64083862
38066400,Dunnigan,84,47.70798874,-91.63187408
38066500,Gypsy,26,47.7048378,-91.6465683
38066600,Slate,354,47.69666672,-91.61807251
38066700,Gunsten,19,47.69418716,-91.59178925
38066800,Deep,158,47.6951828,-91.58191681
38066900,Chipmunk,39,47.69373322,-91.55176544
38067000,Pike,78,47.67749405,-91.55026245
38067200,Alsike,30,47.68431854,-91.58361816
38067300,Highlife,22,47.68386841,-91.61198425
38067400,East Chub,98,47.67797852,-91.62225342
38067500,West Chub,124,47.67498398,-91.64054108
38067600,Pitcha,39,47.66345978,-91.64001465
38067700,Eikala,13,47.6710968,-91.58776855
38067800,Unnamed,15,47.6667366,-91.58086395
38067900,Campers,56,47.66122055,-91.58952332
38068000,Moccasin,10,47.670578,-91.53646851
38068100,Wadop,47,47.66018295,-91.54118347
38068200,Luster,46,47.65523911,-91.55281067
38068300,Unnamed,18,47.64583969,-91.56381989
38068400,Little Wampus,24,47.65075302,-91.60971069
38068500,Wampus,146,47.64541245,-91.61852264
38068600,North McDougal,323,47.63679504,-91.54409027
38068700,Shamrock,58,47.7190361,-91.6155014
38068800,Norway,18,47.79346466,-91.58602905
40010700,Savidge,168,44.32571793,-93.86872864
52003100,Unnamed,196,44.37227631,-94.16926575
52003200,Unnamed,26,44.42643356,-94.20693207
52003300,Rice,130,44.4536438,-94.17448425
52003400,Swan,9346,44.30751038,-94.25531769
52003500,Unnamed,32,44.27613449,-94.28359222
52003600,Unnamed,266,44.35630417,-94.30325317
52003700,Peterson,187,44.35287857,-94.27429962
52003900,Unnamed,43,44.31455612,-94.33158112
52004000,Unnamed,16,44.3024025,-94.29633331
52004100,Unnamed,16,44.30115509,-94.3636322
52004200,Unnamed,74,44.28863144,-94.31565857
52004300,Unnamed,152,44.42974854,-94.30110168
52004400,Unnamed,23,44.3249588,-94.40699768
11004301,Roosevelt - North                          ,,46.83882141,-93.93539429
11004302,Roosevelt - South,,46.7990303,-93.96782684
34003300,Ella,153,45.07973099,-94.81382751
34003400,Unnamed,31,45.22751236,-94.77386475
34003500,Unnamed,51,45.23387527,-94.78884888
34003800,Unnamed,31,45.21092606,-94.86562347
34003900,Unnamed,22,45.2116127,-94.83647919
34004000,Sperry,142,45.20944977,-94.82486725
34004100,Unnamed,33,45.20648575,-94.78982544
34004300,Swenson,63,45.2073822,-94.81284332
34004400,Diamond,1697,45.18304062,-94.84314728
34004500,Unnamed,59,45.20563126,-94.85086823
34004600,Taits,40,45.19502258,-94.87297058
34043200,Unnamed,26,45.40393829,-95.14910889
34043300,Unnamed,30,45.39192581,-94.97238159
34043400,Unnamed,11,45.11388016,-94.76431274
34043500,Unnamed,34,45.16653061,-94.98989105
34043600,Unnamed,11,45.36680603,-95.20214081
34015700,Unnamed,37,45.24501419,-94.96374512
34015800,Lake Monongalia,2516,45.33478546,-94.9478302
34015801,Lake Monongalia - main basin,0,45.33316422,-94.95809937
34015802,Lake Monongalia - Middle Fork Crow River,0,45.33335876,-94.91705322
34015900,Unnamed,112,45.40551376,-94.98769379
34016000,Unnamed,30,45.39200974,-94.93869781
34016100,Unnamed,330,45.38659286,-94.91423798
34016200,Unnamed,39,45.35438538,-95.00403595
34016300,Twenty,230,45.35938263,-94.97466278
34016500,Unnamed,33,45.35365677,-94.91737366
34016700,Unnamed,66,45.32899857,-94.98103333
34016800,Grove,184,44.93477631,-95.004776
34016900,Lake Wakanda,1792,45.05711365,-94.99178314
34017000,Grass,1327,45.09440231,-95.01570129
34017100,Eagle,891,45.18386078,-94.99970245
340171TW,Eagle-TW,0,45.17076111,-95.0125885
34017200,Ringo,774,45.22929382,-95.00749969
34017300,Unnamed,116,45.29543686,-95.00379181
34017500,Milton,219,45.03961563,-95.11382294
34017600,Unnamed,46,45.03878403,-95.04785156
34017700,Stevens,77,45.01156616,-95.10075378
34017800,Round,24,45.00474548,-95.08969116
34017900,Unnamed,34,45.00069046,-95.12227631
34018000,Willmar,641,45.14368439,-95.02890778
34018200,Unnamed,19,45.14263916,-95.07171631
34018300,Unnamed,33,45.13964081,-95.1178894
35000700,Horseshoe,40,48.95375061,-96.70092773
35000800,Beaches,500,48.78261948,-96.50254059
35000900,Unnamed,20,48.95360947,-97.21613312
35001100,Joe River WMA,40,48.99011993,-96.99285889
35001200,Unnamed,50,48.98044205,-96.59442139
35001300,Unnamed,60,48.9757843,-96.59896851
37023400,Unnamed,30,44.90198517,-96.02947998
37023600,Unnamed,53,45.13230896,-96.07675171
37023900,Unnamed,35,45.21016312,-96.24879456
37024000,Unnamed,33,44.84777451,-96.28848267
37024100,Unnamed,30,44.89842224,-96.3638382
37024200,Unnamed,12,44.8914299,-96.35488129
37024400,Pyramid WMA,21,45.20628357,-96.24917603
37024700,Unnamed,17,45.18663406,-96.32103729
37025000,Unnamed,13,45.16640854,-96.33437347
37025100,Unnamed,106,45.06243896,-96.34181976
37025200,Unnamed,10,45.0503273,-96.22856903
37025400,Unnamed,27,45.02825546,-96.3140564
10027400,Gratz Pond,,44.79216385,-93.93934631
56023800,Clitherall,2522,46.25536346,-95.66197205
56023900,West Battle,5672,46.2934227,-95.65338898
56024000,Blanche,1352,46.3474617,-95.65875244
56024100,Annie Battle,358,46.32738113,-95.66039276
56024200,Otter Tail,13845,46.40496063,-95.66053772
56024300,Marion,1610,46.53356171,-95.66212463
56024400,Alice,41,46.47090912,-95.6577301
56024500,Devils,399,46.62598038,-95.65579987
56024600,Thompson,67,46.6882019,-95.66012573
56024700,Fischer,65,46.71580505,-95.67432404
56024800,Unnamed,47,46.17762756,-95.65432739
56024900,Unnamed,14,46.18112946,-95.73490143
56025000,Unnamed,14,46.1746521,-95.74279785
56025100,Torgerson,151,46.17282104,-95.72631836
56025200,Middle,237,46.16827011,-95.71576691
56025300,Eagle,853,46.1709404,-95.69221497
56025400,Unnamed,13,46.17615509,-95.6684494
56025500,Hancock,212,46.17004776,-95.65374756
56025600,Unnamed,15,46.15303802,-95.6515274
56025800,Unnamed,20,46.15293503,-95.68815613
56025900,Unnamed,120,46.14783096,-95.73656464
56026000,Unnamed,10,46.13615417,-95.75739288
56026100,Unnamed,45,46.14480972,-95.72901154
56026200,Unnamed,20,46.13974762,-95.72972107
56026300,Unnamed,69,46.14799881,-95.71618652
56060900,Unnamed,52,46.152565,-96.01428986
56061000,Unnamed,19,46.14516068,-96.01303101
56061100,Alkali,96,46.14629364,-96.0018158
47031700,Unnamed,43,45.14305496,-94.57667542
47031800,Unnamed,12,45.14124298,-94.61882782
47031900,Unnamed,48,45.12758636,-94.55175781
47032000,Unnamed,15,45.11360931,-94.52008057
47032200,Unnamed,13,45.06775665,-94.63117218
47032300,Unnamed,10,45.0778923,-94.56625366
47032500,Unnamed,12,45.0860672,-94.66173553
47032800,Unnamed,11,44.97524643,-94.54921722
47032900,Unnamed,13,44.9618721,-94.54802704
47033000,Unnamed,46,44.94838333,-94.57572174
47033200,Unnamed,12,45.29833984,-94.49919128
47033500,Unnamed,12,45.1478653,-94.26597595
47033600,Unnamed,15,45.14781952,-94.25933075
47033700,Unnamed,25,45.14017868,-94.27536011
47033800,Unnamed,26,45.13585281,-94.26617432
47033900,Unnamed,30,45.11764526,-94.35372925
47034000,Unnamed,12,45.08351898,-94.31110382
47034100,Unnamed,182,45.17425156,-94.56507111
47034200,Unnamed,24,45.17715836,-94.597229
47034300,Unnamed,11,45.17008209,-94.59445953
47034400,Unnamed,16,45.12818909,-94.41257477
47034600,Unnamed,22,45.1055069,-94.45636749
47034800,Unnamed,44,45.04221344,-94.4552536
47035000,Unnamed,17,45.09412384,-94.58499908
47035100,Unnamed,21,44.9745369,-94.53152466
47035200,Unnamed,65,45.00326157,-94.46960449
